,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
soft_F1_neg,0.39951324462890625,0.46652475992838544,0.426174799601237,1.0387865702311196,0.9852027893066406,1.159327824910482,1.0251808166503906,1.3316758473714194,0.9856160481770834,0.8523750305175781,0.4264227549235026,0.426483154296875,0.46547571818033856,0.5319913228352865
_soft_PR_abs,0.2133623758951823,0.14659245808919272,0.3194618225097656,0.5724747975667317,0.46606381734212243,0.545946756998698,0.5327510833740234,0.5996004740397135,0.3993415832519531,0.46593348185221356,0.17323811848958334,0.2124818166097005,0.17315228780110678,0.2802276611328125
_soft_RE_abs,0.23977915445963544,0.27967770894368493,0.21332105000813803,0.6127834320068358,0.5988343556722004,0.5316702524820964,0.4385821024576823,0.7320912679036458,0.6386025746663412,0.5324554443359375,0.2796236673990885,0.1468181610107422,0.27916908264160156,0.2792580922444662
_soft_F1_abs,0.31945228576660156,0.34465789794921875,0.34630775451660156,0.7853317260742188,0.7051181793212891,0.6390476226806641,0.6796455383300781,0.8121331532796224,0.7053756713867188,0.6788476308186848,0.34542401631673175,0.35835901896158856,0.3594525655110677,0.213165283203125
_soft_PR_pos,0.1464970906575521,0.2787494659423828,0.10668436686197916,0.5721823374430339,0.5323314666748047,0.4254881540934245,0.5991109212239583,0.5590470631917317,0.5321756998697917,0.4653485616048177,0.2797126770019532,0.3195762634277344,0.213165283203125,0.07997512817382812
_soft_RE_pos,0.0798797607421875,0.2796141306559245,0.21282831827799478,0.6392510732014973,0.4929828643798828,0.5988438924153646,0.6386248270670574,0.6393210093180339,0.49244562784830725,0.5050214131673176,0.14652570088704428,0.21308263142903647,0.2530097961425781,0.10655721028645834
_soft_F1_pos,0.2530988057454427,0.3195381164550781,0.27958552042643225,0.6120204925537109,0.7449913024902344,0.6388346354166667,0.5718612670898436,0.7456207275390625,0.6792831420898438,0.6385389963785808,0.2798875172932943,0.2130444844563802,0.2531305948893229,0.3194014231363932
_soft_PR_neg,0.1464970906575521,0.17309188842773438,0.2795728047688802,0.5326398213704426,0.4259204864501953,0.4255326588948568,0.4923693339029948,0.5327129364013672,0.5326302846272786,0.42626698811848956,0.21353403727213544,0.21303176879882812,0.25304158528645837,0.21290143330891925
_soft_RE_neg,0.21346092224121094,0.17304738362630206,0.239718755086263,0.5727704366048177,0.5588118235270182,0.4259173075358073,0.6647459665934246,0.4261334737141927,0.5331579844156901,0.5592950185139973,0.21226565043131512,0.145721435546875,0.18619219462076822,0.27942657470703125
_soft_F1_neg,0.21288553873697916,0.2800305684407552,0.2794996897379557,0.7190926869710287,0.6119410196940105,0.5718485514322916,0.678717295328776,0.6793498992919923,0.6393114725748699,0.5994383494059244,0.2797158559163412,0.11908531188964844,0.35963694254557294,0.2534071604410807
Atten_C,0.3457832336425781,0.31951904296875,0.25268872578938806,0.786135991414388,0.6785869598388672,0.6789366404215496,0.9590339660644531,0.6392256418863933,0.7195250193277996,0.6789143880208333,0.3594684600830078,0.42537689208984375,0.3593158721923828,0.31939824422200525
Atten_NC,0.31926155090332037,0.29331843058268225,0.21347363789876303,0.611880620320638,0.5722363789876302,0.5588595072428386,0.7326380411783854,0.5061658223470051,0.5727736155192057,0.5323568979899089,0.2812767028808594,0.35947163899739587,0.35993893941243493,0.2797126770019532
cpa!=,1.051788330078125,1.0648918151855469,0.8924357096354167,3.502906163533529,2.8094927469889326,2.743409474690755,4.114939371744791,3.2494608561197915,3.2896105448404946,3.183024724324544,0.8920733133951823,0.851732889811198,1.0522683461507163,0.9854284922281901
cpl!=,0.4662322998046875,0.49330711364746094,0.6382973988850911,1.1051527659098306,0.9319655100504557,1.065076192220052,1.4775848388671875,1.0387802124023438,1.144723892211914,1.0254573822021484,0.42603810628255206,0.5993461608886719,0.47914187113444007,0.4929892222086588
cor!=,1.4254824320475261,1.5177981058756511,1.3855679829915366,5.513410568237305,4.248088200887045,3.8490676879882812,4.781904220581055,4.5411523183186855,4.648199081420898,4.221436182657877,1.318645477294922,1.4382489522298179,1.5987873077392578,1.4910189310709636
cpa>,0.7857735951741537,0.8923435211181641,0.9596316019694011,3.010088602701823,2.903118133544922,2.7170467376708984,2.677714029947917,3.036521275838216,3.782660166422526,3.0627918243408203,1.0257689158121743,0.8257389068603516,0.9723250071207683,0.9853204091389974
cpl>,0.5327637990315754,0.5591074625651041,0.4918225606282552,1.0784212748209634,0.9184551239013672,0.8919461568196614,0.9852186838785807,0.9981441497802734,1.0918998718261717,0.9320481618245443,0.49277305603027344,0.5065886179606119,0.5728308359781901,0.42596181233723956
cor>,1.5981928507486978,1.2122472127278647,1.2784131368001304,4.288412729899089,4.102274576822917,3.929182688395182,3.8620758056640625,4.182386398315431,4.354788462320964,4.248472849527995,1.4920679728190103,1.4382108052571616,1.4778391520182292,1.3854694366455076
cpa<,0.8788839975992838,0.7587560017903646,0.825653076171875,2.9027016957600913,3.1161848704020185,2.5304285685221353,2.7292315165201826,2.743533452351888,2.730099360148112,2.6101080576578775,0.9589481353759766,0.7593186696370443,0.9188938140869141,0.8515644073486328
cpl<,0.4927857716878255,0.4924583435058594,0.4927285512288411,0.8517106374104818,1.1585108439127603,0.9981060028076172,0.9182325998942058,0.8519872029622396,0.8918253580729166,0.825656255086263,0.492703119913737,0.46564737955729163,0.4656569163004557,0.492862065633138
cor<,1.5179761250813804,1.5707969665527344,1.3450876871744792,3.91510009765625,4.061978658040365,3.702128728230794,3.808917999267578,3.9955520629882812,3.809032440185547,3.7822882334391275,1.4780521392822266,1.1588541666666665,1.2656561533610025,1.2116527557373045
cor_nosign,1.2783781687418618,1.625051498413086,1.3181241353352866,3.7821737925211587,4.008274078369141,3.6625734965006513,3.675378163655599,4.062264760335287,4.248364766438803,4.475193023681641,1.3454532623291016,1.3322385152180989,1.3982264200846355,1.2523206075032554
cor_sign,2.383356094360351,3.010689417521159,2.624012629191081,6.992368698120117,6.979300181070964,7.059450149536133,6.912609736124675,7.645060221354167,8.364089330037434,8.09724489847819,2.7702363332112627,2.5704892476399737,2.477375666300456,2.623446782430013
