,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
_soft_PR_pos,0.003635341413319111,0.0036353413372611013,0.0,0.030211046210800608,0.0,0.26087670490145676,0.250996549675862,0.1457495215431603,0.10350918539023649,0.08663892175769433,0.004146105030861994,0.0004358197096735239,0.14354242392815647,0.00041925420984625814
_soft_RE_pos,0.4791639296213786,0.47916392326354984,0.0,0.1928364082115392,0.0,0.12246224331048627,0.07325854512086759,0.11979501557757732,0.0580143014388159,0.06399509855468447,0.1682008452216784,0.010701896548271179,0.6985892911752065,0.07999984741210937
_soft_F1_pos,0.0071739722386722745,0.007173972139827409,0.0,0.04790624336710492,0.0,0.1415822826533069,0.10466663661098283,0.10744980299772833,0.057365196599635224,0.056513233532410986,0.008030783359347574,0.0008344584464567331,0.2291218867080888,0.0008334842289182412
_soft_PR_neg,1.0,1.0,1.0,0.00973784024827182,1.0,0.265843793520083,0.256923188023502,0.048391607651574305,1.0,1.0,0.04124766778938162,0.9201133492030203,0.4,1.0
_soft_RE_neg,0.0,0.0,0.0,0.11407276862611374,0.0,0.07486798155431947,0.018123515602201223,0.07927462146957015,0.0,0.0,0.08588848069310187,0.01661700665950775,0.0,0.0
_soft_F1_neg,0.0,0.0,0.0,0.017386781396966564,0.0,0.07010838356997973,0.029399447332684514,0.05096946079768376,0.0,0.0,0.0024448619571588804,0.0002249455789740601,0.0,0.0
Atten_C,0.01849034231156111,0.018490342032164337,0.0,0.05720216521061957,0.0,0.46402043476700783,0.5240552782018979,0.2690489603703221,0.2624724964859585,0.21937900235876437,0.013268406422187884,0.003095659613609314,0.37574936735133335,0.0030293365567922595
Atten_NC,0.9815096656481425,0.9815096473693847,1.0,0.942797835667928,1.0,0.5359795475006103,0.4759447474777699,0.7309510282675425,0.7375275107224782,0.7806210259596507,0.9867315975824992,0.9969043350219726,0.6242506273587545,0.9969706630706788
cpa!=,0.02462837325505198,0.024628373850578845,0.0,0.16937540292915082,0.0,0.5856019939328557,0.7054648369334408,0.6483595059120347,0.8210539483805182,0.7842448697891902,0.04635626880099232,0.007111117965778814,0.3269991349584737,0.0005283699616240495
cpl!=,0.5990980970355693,0.5990980948342146,0.6863414865351407,0.7408839933041816,0.6863414862747989,0.7157329337464184,0.7329352977480814,0.7340362328945939,0.7175744767119507,0.7206690020769793,0.7484940587223188,0.6817998731143818,0.620988111316634,0.6341944896392144
cor!=,0.31186323514531067,0.3118632343423967,0.34317074326757036,0.45512969811666626,0.3431707431373994,0.650667463839637,0.7192000673407611,0.6911978694033142,0.7693142125462343,0.7524569359330846,0.3974251637616555,0.34445549554008037,0.4739936231375538,0.31736142980041926
cpa>,0.015736632893929656,0.015736633166328323,0.0,0.09990839604283366,0.0,0.4402893577756128,0.4485573365030501,0.42543921457522355,0.4830664759833576,0.45266116682578306,0.02157306779888523,0.007833653779009814,0.1934720267351262,0.0004351056018093798
cpl>,0.5900646042543432,0.5900645999540464,0.5267679217471934,0.6330564546738892,0.5267679070199695,0.5957936705300519,0.5567909946016071,0.6002075063514426,0.5723394281271591,0.5735178201833102,0.5648996920964489,0.5112716291025349,0.7215976309114395,0.4719034956846869
cor>,0.3029006185741364,0.30290061656018735,0.2633839608735967,0.3664824253583614,0.2633839535099847,0.5180415141528324,0.5026741655523287,0.512823360463333,0.5277029520552584,0.5130894935045467,0.29323637994766705,0.2595526414407724,0.4575348288232829,0.23616930064324815
cpa<,1.0,1.0,1.0,0.1455861758350279,1.0,0.7310808379233634,0.4825372792038964,0.49147783106579246,1.0,1.0,0.06481253948739488,0.9203515395802049,0.4,1.0
cpl<,0.3392732935110919,0.33927330007734324,0.7768333630634404,0.7506303742149505,0.776833362322396,0.7572909739232874,0.7770387524179536,0.7591987248795218,0.7385572235280151,0.7389902288602328,0.681579710238293,0.7749122739907017,0.43000560739408744,0.7317715669602303
cor<,0.6696366467555459,0.6696366500386717,0.88841668153172,0.4481082750249891,0.888416681161198,0.7441859059233253,0.6297880158109249,0.6253382779726571,0.8692786117640076,0.8694951144301164,0.3731961248628439,0.8476319067854533,0.41500280369704373,0.865885783480115
cor_nosign,0.31186323514531067,0.3118632343423967,0.34317074326757036,0.45512969811666626,0.3431707431373994,0.650667463839637,0.7192000673407611,0.6911978694033142,0.7693142125462343,0.7524569359330846,0.3974251637616555,0.34445549554008037,0.4739936231375538,0.31736142980041926
cor_sign,0.48626863266484116,0.48626863329942954,0.5759003212026584,0.4072953501916753,0.5759003173355913,0.6311137100380789,0.5662310906816267,0.569080819217995,0.698490781909633,0.6912923039673315,0.3332162524052555,0.5535922741131128,0.4362688162601633,0.5510275420616816
Time,492.82240867614746,501.74544016520184,1254.3301264444985,1318.9081128438313,24.36592737833659,1552.5215784708657,1853.2866891225178,537.8557745615641,518.0627663930256,526.9543520609539,4652.086400985718,1440.9981759389243,26672.053871154785,15918.242438634235
